District,Step,Predicted_Net_Change,Risk_Level
0,1,-2.95,Critical ❌
0,2,-3.11,Critical ❌
0,3,-2.78,Critical ❌
0,4,-2.37,Critical ❌
1,1,-1.03,Critical ❌
1,2,-1.42,Critical ❌
1,3,-1.4,Critical ❌
1,4,-1.69,Critical ❌
12,1,1.81,Critical ❌
12,2,0.67,Critical ❌
12,3,-0.25,Critical ❌
12,4,-0.67,Critical ❌
13,1,-2.93,Critical ❌
13,2,-6.74,Critical ❌
13,3,-5.71,Critical ❌
13,4,-5.78,Critical ❌
14,1,0.67,Critical ❌
14,2,-0.7,Critical ❌
14,3,-0.83,Critical ❌
14,4,-0.21,Critical ❌
15,1,-2.14,Critical ❌
15,2,-2.4,Critical ❌
15,3,-2.43,Critical ❌
15,4,-1.85,Critical ❌
16,1,-2.14,Critical ❌
16,2,-2.32,Critical ❌
16,3,-2.23,Critical ❌
16,4,-1.57,Critical ❌
17,1,-0.63,Critical ❌
17,2,-1.41,Critical ❌
17,3,-1.89,Critical ❌
17,4,-1.84,Critical ❌
2,1,-3.27,Critical ❌
2,2,-2.95,Critical ❌
2,3,-2.74,Critical ❌
2,4,-4.17,Critical ❌
22,1,-7.43,Critical ❌
22,2,-6.38,Critical ❌
22,3,-5.71,Critical ❌
22,4,-5.72,Critical ❌
23,1,-15.03,Critical ❌
23,2,-13.72,Critical ❌
23,3,-13.08,Critical ❌
23,4,-11.36,Critical ❌
25,1,-4.65,Critical ❌
25,2,-6.61,Critical ❌
25,3,-6.22,Critical ❌
25,4,-6.74,Critical ❌
26,1,-3.4,Critical ❌
26,2,-5.51,Critical ❌
26,3,-8.03,Critical ❌
26,4,-6.97,Critical ❌
27,1,-0.24,Critical ❌
27,2,-2.71,Critical ❌
27,3,-4.93,Critical ❌
27,4,-3.92,Critical ❌
3,1,-4.18,Critical ❌
3,2,-4.15,Critical ❌
3,3,-2.98,Critical ❌
3,4,-3.54,Critical ❌
4,1,-4.22,Critical ❌
4,2,-4.15,Critical ❌
4,3,-4.25,Critical ❌
4,4,-3.05,Critical ❌
6,1,-2.32,Critical ❌
6,2,-2.39,Critical ❌
6,3,-3.11,Critical ❌
6,4,-2.78,Critical ❌
7,1,-2.63,Critical ❌
7,2,-2.86,Critical ❌
7,3,-4.1,Critical ❌
7,4,-2.0,Critical ❌
8,1,-2.2,Critical ❌
8,2,-3.89,Critical ❌
8,3,-3.55,Critical ❌
8,4,-3.9,Critical ❌
9,1,-6.61,Critical ❌
9,2,-7.11,Critical ❌
9,3,-8.95,Critical ❌
9,4,-8.39,Critical ❌
